genres,app_name,id,year
Free to Play,Krosmaster - Water Element Pack,401450,2015.0
Free to Play,Soldier Front 2: The Booster Package,243441,2013.0
Casual,Tell a Demon - Soundtrack & Bonus Material,679340,2017.0
Casual,Colorful Life,565640,2017.0
Action,GGXrd Extra Color Palettes - CHIPP ZANUFF,419944,2015.0
Massively Multiplayer,9Dragons,390100,2017.0
Casual,Recourse,413540,2016.0
Indie,Little Jack's Adventures,571870,2016.0
Strategy,Fantasy Grounds - Undead 1 (Token Pack),632140,2017.0
Indie,Girl Amazon Survival,372750,2016.0
Action,River City Melee : Battle Royal Special,544630,2017.0
Action,Star Conflict: Fleet Strength - Sawtooth,397123,2015.0
Strategy,Battle of Empires: 1914-1918 - ART+OST,409230,2016.0
Action,emoj.io - Faces #3 Pack,538537,2016.0
Adventure,Assassin’s Creed® Rogue - Time Saver: Collectibles Pack,339032,2015.0
Adventure,Return to Mysterious Island,277110,2014.0
Massively Multiplayer,Devilian: Tempest Class Pack,441782,2016.0
Indie,Fantasy Grounds - Weird Wars Rome: Half-Set Sun (Savage Worlds),641740,2017.0
Indie,Creature Clicker - Deluxe Pack,631332,2017.0
Indie,StarFence: Heroic Edition,360750,2015.0
Casual,Idioctopus,571330,2017.0
Casual,DubWars Demo,309890,2014.0
Web Publishing,CyberLink ActionDirector 3,501610,2017.0
Action,Achievement Hunter: Scars,756050,2017.0
RPG,Realms of Arkania 2 - Star Trail Classic,270750,2014.0
Indie,City Play,422270,2016.0
Strategy,HIS - Battle Pack,353742,2015.0
Indie,It's Spring Again,434210,2016.0
Strategy,Box Maze - Xmas Skins Pack,569740,2016.0
Action,Magicka: Gamer Bundle,73057,2011.0
Casual,Rocksmith® 2014 – Ritchie Valens - “La Bamba”,369795,2015.0
Strategy,Pixel Puzzles Ultimate - Puzzle Pack: Samurai,577312,2017.0
Casual,Plantera,421040,2016.0
Action,Helium Rain,681330,2017.0
Simulation,Rocksmith® 2014 – Megadeth - “Tornado of Souls”,390432,2016.0
Casual,Trove,304050,2015.0
Indie,Edgar,455640,2016.0
Casual,Cave Runner,763400,2017.0
RPG,Mars 2030,416070,2016.0
Simulation,Operation: New Earth,528740,2016.0
Early Access,Dungeoncraft,370750,2015.0
RPG,Fantasy Grounds - Mini-Dungeon #007: The Pententieyrie (PFRPG),563900,2016.0
Action,Hard Truck Apocalypse / Ex Machina,285500,2005.0
Strategy,Talisman: The Horus Heresy - Heroes & Villains 4,635340,2017.0
Indie,Monster Trucks Nitro,16620,2009.0
Casual,大逃亡专家-土豆车/EscapeExpert-Potato Car,765190,2017.0
Indie,A Virus Named TOM Soundtrack,207655,2012.0
Indie,Full Game Upgrade,484920,2016.0
Strategy,Tank Operations: European Campaign,258240,2013.0
Simulation,Rocksmith® 2014 – Chevelle Song Pack,436630,2016.0
Strategy,Total War: ATTILA - Age of Charlemagne Campaign Pack,343464,2015.0
Adventure,CodeSpells,324190,2015.0
Action,Rocket League® - Batman v Superman: Dawn of Justice Car Pack,438690,2016.0
Adventure,Brink of Consciousness: Dorian Gray Syndrome Collector's Edition,302130,2012.0
Education,MasterCook 15,372980,2015.0
Action,The Garden,516810,2016.0
Action,Neon Space 2,505210,2016.0
Simulation,Station Commander,740730,2017.0
Strategy,"Duels 2013 ""Grinning Malice"" Deck Key",97386,2012.0
Strategy,Town of Salem - The Coven,626470,2017.0
Indie,Choice of the Cat,715440,2017.0
Strategy,Enemy,339570,2015.0
Adventure,Dead Rising 2 - Sports Fan Skills Pack,353053,2015.0
Action,"Damage Inc P-40N ""Blackfin"" Warhawk",215434,2012.0
RPG,Witanlore: Dreamtime,554570,2017.0
Casual,Torn Familjen,675040,2017.0
Adventure,Lepofrenia,527460,2017.0
Casual,Mystic Saga,415840,2016.0
RPG,Fantasy Grounds - Mini-Dungeon #030: The Burning Tree of Coilltean Grove (PFRPG),611310,2017.0
Strategy,Desktop Dungeons Goatperson DLC,261421,2013.0
Indie,A New World: Kingdoms,628650,2017.0
Adventure,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC5 Jinchuriki Costume Pack 2,301894,2014.0
Casual,Rocksmith® 2014 Edition – Remastered – Rockin’ Covers Song Pack,637743,2017.0
Action,Base Raid,511390,2016.0
Action,Slime Rancher,433340,2017.0
Action,Deep Dark Dungeon,496290,2017.0
Indie,Sorcery! Part 3,445040,2016.0
Action,Exatron Quest 2,669410,2017.0
Simulation,Train Simulator: CPRR 4-4-0 No. 60 ‘Jupiter’ Steam Loco Add-On,562379,2017.0
Action,Psi Project,725280,2017.0
Strategy,Perimeter,289440,2004.0
Simulation,BattleTrucks,601590,2017.0
Simulation,X-Plane 10 AddOn - Carenado - V35 Bonanza,325137,2014.0
Indie,WARMACHINE: Tactics,253510,2014.0
Action,Street Fighter X Tekken: Marduk (Swap Costume),210058,2012.0
Casual,Pony World 2,546820,2017.0
Casual,Don't Die!,659870,2017.0
Casual,Time Clickers,385770,2015.0
Free to Play,Crossout,386180,2017.0
Indie,Gold Rush: The Game,451340,2017.0
Action,Party Panic,506500,2017.0
Strategy,Life is Feudal: Forest Village,496460,2017.0
Strategy,Alpha Kimori™ 1,265870,2014.0
Sports,Automobilista - Formula Truck,550800,2016.0
Strategy,Deadlock II: Shrine Wars,328450,1998.0
Indie,Space Lagat,741560,2017.0
Indie,ARM PLANETARY PROSPECTORS Asteroid Resource Mining,344890,2015.0
Casual,Kitten Rampage,434360,2016.0
Indie,Quiplash,351510,2015.0
Free to Play,A.V.A. Alliance of Valiant Arms™: Rifleman Pack,539103,2016.0
Adventure,Demetrios - Original Soundtrack,481490,2016.0
RPG,Fantasy Grounds - Village Backdrop: Hard Bay (5E),706700,2017.0
Strategy,Lost Dimension: Extra Gift-EXP Bundle,650234,2017.0
Indie,Jigsaw Puzzles,707850,2017.0
Strategy,Domain Defense,455960,2016.0
Simulation,TANE DLC - EMD GP50 - FRISCO,766471,2017.0
Adventure,Sherlock Holmes: Crimes and Punishments,241260,2014.0
Action,Logic Missile,448300,2016.0
Action,Front Mission Evolved: Wanzer Pack 2,43011,2010.0
Indie,Market Tycoon,563360,2017.0
Indie,gShift,396730,2011.0
Indie,Doodle Kingdom,431640,2016.0
Indie,Induction,381890,2017.0
Strategy,Selknam Defense,306260,2014.0
Casual,Pixel Puzzles Ultimate - Puzzle Pack: Angel Wings,521970,2016.0
Simulation,The Kindred,373410,2016.0
Casual,Dima Rescues Ira,586280,2017.0
RPG,Kronos Soundtrack,587800,2017.0
Casual,Gigachess Demo,424220,2015.0
Adventure,The Dark Stone from Mebara,346950,2015.0
RPG,Deepworld,340810,2015.0
Casual,Rocksmith® 2014 – Tom Petty - “I Won’t Back Down”,295049,2014.0
Indie,Dark Rising,710880,2017.0
Adventure,Plazma Being,346630,2015.0
Strategy,Trackday Manager,348030,2016.0
Action,Middle-earth: Shadow of Mordor - HD Content,311670,2014.0
Simulation,Achievement Clicker,743640,2017.0
Strategy,Maximum Archery The Game,513680,2016.0
Adventure,BattleRush - US Special Forces DLC,750491,2017.0
Adventure,Angels That Kill Demo,410680,2015.0
Sports,NBA Playgrounds - Unlock Roster,564910,2017.0
Racing,Mashed,281280,2004.0
Simulation,Sport Casting Bass Pack,423364,2016.0
Action,FreeStyleFootball - Card Pack (SMF),625877,2017.0
Indie,Tesla Effect: A Tex Murphy Adventure,261510,2014.0
Indie,Krater - Dr. Cerebro Pack,204732,2012.0
RPG,TOS - New Rank Booster for SA Servers,768703,2017.0
Casual,Gnome Light,682350,2017.0
Indie,Quest for Infamy,264560,2014.0
Adventure,RPG Tycoon: Festive Fun,570920,2016.0
Casual,FreeStyleFootball - Card Pack (WF),625872,2017.0
Indie,Crystal Control II,499580,2017.0
Adventure,Burnstar - Original Soundtrack,378890,2015.0
Indie,Zooicide,622040,2017.0
Action,DoDonPachi Resurrection,464450,2016.0
RPG,Knights of Pen and Paper - Haunted Fall,324250,2014.0
Free to Play,Games of Glory,342150,2017.0
RPG,Gothic 3: Forsaken Gods Enhanced Edition,65600,2011.0
Indie,Fantasy Grounds - Hellfrost: Siege of Watch Gap Fort (Savage Worlds),629500,2017.0
Indie,Lost Socks: Naughty Brothers OST,572530,2017.0
RPG,Might and Magic: Heroes VII – Trial by Fire,445310,2016.0
Indie,Dogstar,739890,2017.0
Strategy,ShellShock Live,326460,2015.0
Indie,Great Permutator Demo,319340,2014.0
Indie,Dyna Bomb - Soundtrack OST,485090,2016.0
Adventure,DreadOut Demo,299130,2013.0
Adventure,Colortone,375320,2015.0
Action,Silent Storm Gold Edition,254960,2004.0
Indie,Meadow,486310,2016.0
Simulation,Selfie : Sisters of the Amniotic Lens,287140,2015.0
Racing,SQUAKE,526920,2017.0
Indie,Perfect Plan,605160,2017.0
Indie,Tabletop Simulator - Darkrock Ventures,468735,2016.0
Simulation,Robocraft - Speed Bundle,513430,2016.0
RPG,Artisan: Going Home Again,525050,2016.0
Simulation,Burokku Girls,443980,2016.0
Casual,Fish Tycoon,16130,2005.0
Action,Half-Life: C.A.G.E.D. - Level Design Source Files,700860,2017.0
Indie,Fantasy Grounds - Sundered Skies: Companion (Savage Worlds),560360,2016.0
Action,Rise of One,688500,2017.0
Adventure,Naught Reawakening,347080,2015.0
Indie,Cannon Brawl Demo,325760,2015.0
Action,Tom Clancy's Rainbow Six® Siege - Emerald Weapon Skin,417463,2016.0
Adventure,METAL GEAR SOLID V: THE PHANTOM PAIN - Sneaking Suit (The Boss),406590,2015.0
Strategy,Dead Exit,630050,2017.0
Indie,How to shoot a criminal,518130,2017.0
Indie,Stardew Valley Soundtrack,440820,2016.0
Casual,Lindsey (Character for Occult RERaise),698352,2017.0
Strategy,Draft Day Sports: Pro Basketball 2017,544480,2016.0
Casual,Ashes of Immortality,362130,2015.0
Strategy,Fantasy Grounds - Secrets of Tibet (CoC7E),686700,2017.0
Indie,Fantasy Grounds - Tome of Horrors 4 - PFRPG,473600,2016.0
Sports,RC Plane 3 - Warbirds Bundle,675800,2017.0
Indie,The Last NightMary - A Lenda do Cabeça de Cuia,407300,2015.0
Adventure,Heroine's Quest: The Herald of Ragnarok,283880,2014.0
Adventure,LEGO Batman,21000,2008.0
RPG,Halcyon 6: Starbase Commander,371200,2016.0
Adventure,Epic Battle Fantasy 4 - Soundtrack,419290,2015.0
Simulation,Nameless will heal your heart ~Tei~,414672,2013.0
Action,Shepherds of the Abyss,438300,2016.0
Action,Rebel Wings,378090,2016.0
Indie,God Of Thunder,738470,1994.0
Strategy,Fantasy Grounds - Darkwoulfe's Token Pack Volume 14,511850,2016.0
Casual,Hide and Seek - Sombrero,693610,2017.0
Casual,Rocksmith - The Black Keys - Just Got To Be,206106,2012.0
Early Access,Legion TD 2,469600,2017.0
Simulation,Cold Waters - Soundtrack,642510,2017.0
Adventure,Survival Zombies The Inverted Evolution,440730,2017.0
Simulation,Train Simulator: The Rhine Railway: Mannheim - Karlsruhe Route Add-On,277768,2015.0
Casual,The Dream Machine: Chapter 6,461900,2017.0
Indie,Top Hat,315940,2014.0
Massively Multiplayer,Vindictus,212160,2012.0
RPG,Champion of the Gods Demo,386530,2015.0
Simulation,FourChords Guitar Karaoke - Lana Del Rey Song Pack,537826,2016.0
Action,Counter-Strike Nexon: Zombies - Rivals DLC,429450,2015.0
Strategy,Space Hulk,242570,2013.0
Action,USFIV: Brawler Vacation Pack,308262,2014.0
Massively Multiplayer,Nether: Resurrected,247730,2014.0
Free to Play,HIS - [Stranraer] Supermarine Stranraer pack,369506,2015.0
RPG,The Rosefinch Curse（Ning's Wing 1）,530500,2016.0
Simulation,Project CARS - Classic Lotus Track Expansion,334782,2015.0
Indie,Spheria,434340,2016.0
Casual,Pixel Puzzles Ultimate - Puzzle Pack: Macro,591507,2017.0
Strategy,The Long Dark,305620,2017.0
Casual,Apocalypse Hotel: The Thin Blue Line!,446900,2016.0
Action,Unreal 2: The Awakening,13200,2003.0
Indie,Pixel Puzzles Ultimate - Puzzle Pack: Dinosaurs,476010,2016.0
Indie,Memory's Dogma CODE:01 - Original Soundtrack,570800,2016.0
Action,Fate/EXTELLA - Black Speedo,623193,2017.0
Action,Call of Duty®: Infinite Warfare - Grandma Knows Best VO Pack,638120,2017.0
Action,Luna's Wandering Stars,330660,2015.0
Indie,Euro Truck Simulator 2 - Pirate Paint Jobs Pack,461248,2016.0
Action,Nuclear Throne - Original Soundtrack by Jukio Kallio,428400,2015.0
Action,Scraps Demo,382060,2015.0
Early Access,Super Cane Magic ZERO,336440,2015.0
Racing,Demon Truck,489760,2016.0
Indie,Gremlin Invasion: Survivor,349980,2015.0
Action,Grim Dawn - Ashes of Malmouth Expansion,642280,2017.0
Massively Multiplayer,Hero Siege - Maniac Gunner Pirate (Skin),564730,2016.0
Action,Yatagarasu Attack on Cataclysm Original Soundtrack,385650,2015.0
Casual,StepX,711210,2017.0
Strategy,Istrolid,449140,2016.0
Strategy,Sengoku Jidai: Shadow of the Shogun,397190,2016.0
Adventure,Mighty Party: Back to Transylvania Pack,616280,2017.0
RPG,Your Quest,416030,2015.0
Indie,M.A.C.E.,555280,2017.0
Free to Play,Strife® - Starter Pack,360240,2015.0
Adventure,Please - Soundtrack,596520,2017.0
Free to Play,Spooky's Jump Scare Mansion,356670,2015.0
Casual,Poly Towns,438730,2016.0
Indie,Auralux: Constellations,444130,2016.0
Action,SUPER DISTRO,364690,2015.0
RPG,MyWorld - Action RPG Maker,492150,2017.0
Casual,VoxreD,533640,2016.0
Strategy,The Guild Gold Edition,39520,2002.0
Indie,ReVeN: XBridge,422030,2017.0
RPG,Winter Voices Episode 2: Nowhere of me,72903,2010.0
Adventure,Turtle Odyssey,412480,2015.0
Simulation,Rocksmith® 2014 – Thirty Seconds to Mars - “Kings and Queens”,390426,2016.0
Free to Play,Maui,464700,2016.0
Action,Terra Tanks: Defenders of the Earth,747820,2017.0
Strategy,Think To Die 2,539380,2016.0
Adventure,OPUS Original Soundtrack,458740,2016.0
Action,Imprisoned Light - Soundtrack,553720,2016.0
Indie,Sickness Demo,431420,2015.0
Strategy,Save the Creatures,411860,2015.0
Adventure,Xenon Valkyrie,573780,2017.0
Action,Gauntlet™ Slayer Edition,258970,2014.0
Indie,Chaos Town,620130,2017.0
Indie,Stellar Interface - Original Soundtrack,567070,2016.0
RPG,Fantasy Grounds - Islands of Plunder: Spices and Flesh (PFRPG),572070,2016.0
Adventure,DROD: The Second Sky,351320,2014.0
Simulation,MXGP - The Official Motocross Videogame Compact,336010,2014.0
RPG,Badland Bandits - Raw Power Skins,391010,2015.0
Simulation,Nurbits,651010,2017.0
Sports,Wand Wars - Soundtrack,574400,2016.0
Strategy,STAR WARS™ Empire at War - Gold Pack,32470,2006.0
Indie,Breach & Clear: Deadline Rebirth (2016),310890,2015.0
Indie,Miner Warfare,354620,2012.0
Indie,Warp Rider,656370,2017.0
Early Access,Handy Dice,556850,2017.0
Strategy,Plague Needle - Awesomenauts Droppod,605957,2017.0
Adventure,A-Men 2,294190,2015.0
Indie,Cat Goes Fishing,343780,2015.0
Adventure,AER Memories of Old Soundtrack,699290,2017.0
Simulation,Panzer Warfare,513880,2016.0
Adventure,The Empire Strikes Back Character Pack,466540,2016.0
Indie,Homesick,244910,2015.0
Indie,Stickman - Killer of Apples,727590,2017.0
Simulation,Train Simulator: Fort Kent to Eagle Lake Route Add-On,24055,2010.0
Indie,Sound Soarer,729130,2017.0
Indie,Anodyne,234900,2013.0
Action,Awesomenauts - Steel Seraph Ix Skin,425542,2016.0
Free to Play,Rescue the Great Demon 2 - Art Book,560630,2016.0
Early Access,Train Station Simulator,738610,2017.0
Adventure,Watch_Dogs® 2 - Black Hat Pack,525014,2016.0
Indie,Cladun X2 / クラシックダンジョンX2,206250,2012.0
Casual,Koi-Koi Japan : UKIYOE tours Vol.1,510610,2016.0
RPG,Female #1 + Starter Pack for Arcane (pre)Raise,609791,2017.0
Action,Saints Row: The Third - Money Shot Pack,55389,2012.0
Action,America's Army: Proving Grounds,203290,2015.0
Simulation,TANE DLC - EMD GP50 - Burlington Northern (Phase I),766472,2017.0
Action,Hitman: Absolution: Agency Jagd P22G,216411,2012.0
Indie,Just Hero,527760,2016.0
RPG,Fantasy Grounds - Ultimate NPCs: Skulduggery (5E),528480,2016.0
Adventure,Male #1 + Booster Pack,604600,2017.0
Massively Multiplayer,Pool Nation FX - Unlock Online,421770,2015.0
Indie,24 Hours 'til Rescue,444420,2016.0
Action,Magicka 2: Gates of Midgård Challenge pack,393830,2015.0
Racing,Marble Mayhem: Fragile Ball,370510,2015.0
Free to Play,ChuSingura46+1 S,464780,2016.0
Action,Hero Siege - The Karp of Doom (Digital Collector's Edition),312290,2014.0
Indie,Fantasy Grounds - C&C: A5 The Shattered Horn,332020,2014.0
Indie,Hidden Folks,435400,2017.0
Action,Shmup Love Boom - Soundtrack,387120,2015.0
Free to Play,Realm Grinder,610080,2017.0
Early Access,The Spatials: Galactology,450700,2016.0
Indie,Electronic Super Joy - A Hot Sticky Mess DLC,317770,2014.0
Indie,Defend Your Kingdom,653780,2017.0
Strategy,Honey Rose: Underdog Fighter Extraordinaire,523680,2016.0
Casual,Save Jesus,509220,2016.0
Adventure,Achievement Hunter: Foxy,710330,2017.0
Action,GemBreak,491160,2016.0
Indie,Catacomb Kids,315840,2015.0
Action,How To Survive 2 - Crow Pet,475131,2016.0
Adventure,Tom Clancy’s The Division™,365590,2016.0
Animation &amp; Modeling,iOS Exporter for Clickteam Fusion 2.5,267651,2013.0
Early Access,Windscape,363950,2016.0
Indie,Bell Ringer,424830,2016.0
Casual,The Tritan Initiative,656290,2017.0
Casual,dUpLicity ~Beyond the Lies~ Demo,335970,2011.0
Racing,Motorama,327010,2014.0
Action,Jack Lumber,220900,2013.0
Indie,Battlevoid: Harbinger,396480,2016.0
Adventure,Dark Scavenger,293880,2014.0
Casual,Wonder Boy Returns,523810,2016.0
Strategy,Divinity: Original Sin 2 - Divine Ascension,715950,2017.0
Action,Verdict Guilty - 유죄 평결,449210,2016.0
Adventure,Academagia: The Making of Mages,533480,2010.0
Adventure,Aveyond 4: Shadow of the Mist,433920,2016.0
Adventure,The Pit And The Pendulum,463050,2016.0
RPG,Borderlands 2: Commando Madness Pack,225820,2013.0
Adventure,Age of Survival,369080,2015.0
Adventure,Blades of Time,208670,2012.0
Action,Galactic Feud,611730,2017.0
Adventure,Tick's Tales,411610,2016.0
Indie,DeathMetal,553820,2016.0
Early Access,Stupid Raft Battle Simulator,598240,2017.0
RPG,Sins Of The Demon RPG,461640,2016.0
