user_id,posted,item_id,recommend,sentiment_analysis
Thisisareallylongurladdress,"Posted December 24, 2013.",42910,True,1
76561198096279435,"Posted March 16, 2015.",230410,True,1
orangemuffin,Posted July 15.,12750,True,2
Chocolateness,"Posted December 10, 2015.",409160,True,1
76561197966764681,"Posted September 12, 2014.",730,True,1
Frituplay,"Posted April 20, 2015.",304930,True,1
PanzerGuy,"Posted July 9, 2014.",291480,True,2
YouAreDedNottaBigSoupPrice,"Posted December 21, 2014.",730,True,2
76561198094665607,Posted May 17.,312210,False,1
toshji,"Posted June 16, 2014.",236430,True,1
stevedude911,"Posted June 19, 2014.",224260,True,2
76561198092220546,"Posted March 18, 2014.",261030,True,2
kzkyus,"Posted April 4, 2015.",222880,True,2
Noxious02,"Posted February 19, 2015.",17520,True,2
76561198057309239,"Posted November 14, 2015.",377160,True,1
Glitchhog,Posted August 27.,275850,False,1
76561198063585456,"Posted June 21, 2014.",252490,True,2
76561198048134668,"Posted April 4, 2014.",105450,True,1
soulsphere33,"Posted July 13, 2012.",550,True,1
ulramite,"Posted October 27, 2014.",290020,True,2
halo1010,"Posted October 12, 2014.",730,True,2
76561197998276287,Posted July 22.,440,False,2
76561198038486363,"Posted October 14, 2014.",8190,True,2
fedexplus,"Posted May 25, 2014.",320,True,0
Moving_McTarget,"Posted August 20, 2012.",50300,True,0
candel,"Posted January 10, 2014.",253920,True,1
puhak,"Posted September 8, 2015.",359050,True,1
76561198079705633,"Posted June 15, 2014.",206210,True,1
defox01,"Posted October 24, 2015.",206440,True,2
pancakesss,"Posted December 26, 2014.",206420,True,2
fhjao,"Posted November 26, 2013.",216150,True,1
76561198088891398,"Posted May 7, 2014.",286100,True,2
manuelpr039,Posted July 12.,323320,True,0
imsodonionringsrightnow,"Posted February 3, 2015.",99900,False,1
76561198100282394,"Posted October 11, 2014.",237110,True,2
76561198026599584,"Posted November 8, 2015.",204360,True,1
76561198085956238,Posted February 3.,242860,False,0
LucarioSakaki,"Posted February 1, 2014.",222940,True,1
Wolffeeder,Posted March 24.,438690,True,1
76561198025505068,"Posted September 14, 2015.",243870,True,2
76561198095725786,"Posted February 28, 2014.",620,True,2
sirmalcolm,"Posted January 16, 2013.",219150,True,2
76561198155221846,"Posted December 27, 2014.",550,True,2
talibanstorm,"Posted August 19, 2014.",218620,True,1
herpaderpinaderpyworld,"Posted October 18, 2015.",218620,False,1
76561198054069754,"Posted January 18, 2014.",570,True,2
76561198059366714,"Posted July 30, 2015.",200210,False,1
topkeklord7,Posted January 21.,362890,False,1
76561198080209148,"Posted September 21, 2015.",263060,True,1
dinosaurdance,"Posted January 27, 2014.",221100,True,1
Tarvo69,"Posted October 25, 2014.",113200,True,2
nelllllly,"Posted April 9, 2015.",218620,True,2
JamesDurham23JubileeRd,"Posted August 15, 2015.",730,True,1
Monsta45,"Posted August 9, 2014.",218620,False,0
vDevyy,"Posted December 9, 2014.",242860,True,1
76561198095214263,"Posted January 18, 2014.",7670,True,1
DuffBeer1,"Posted May 22, 2014.",730,False,2
prohan,"Posted March 18, 2013.",208670,True,2
76561198019548281,"Posted June 25, 2014.",250180,False,1
o_danone,"Posted December 23, 2013.",224260,True,2
76561198034277356,"Posted June 14, 2013.",219890,True,2
iamill,"Posted May 31, 2015.",31280,True,1
BlockStabFatality,"Posted July 5, 2013.",72850,True,2
nerothefgt,"Posted August 30, 2013.",72850,True,2
SuspiciousPackage,"Posted January 21, 2014.",44340,False,1
76561198008068264,Posted April 11.,232090,False,1
76561198065420140,"Posted December 21, 2014.",220200,True,2
friedlychees,Posted August 11.,107100,True,2
76561198051837130,"Posted March 18, 2014.",264140,True,2
76561198067835501,"Posted August 24, 2015.",730,True,2
Symbolize,"Posted November 26, 2013.",214950,True,2
76561198053182488,"Posted April 7, 2014.",246900,True,2
Brendomir,"Posted March 26, 2013.",230410,True,2
76561198042823843,"Posted September 20, 2015.",330830,True,0
76561198054627970,"Posted February 7, 2015.",8190,True,1
Danoli3,"Posted May 12, 2015.",322070,True,2
76561198067771967,"Posted October 7, 2015.",238090,True,2
yisuschurches,"Posted May 10, 2014.",8870,True,2
barcafan835,"Posted December 6, 2013.",205910,True,2
Gunzerker1003,"Posted July 31, 2014.",304930,True,1
kudab,"Posted January 22, 2013.",224540,True,2
76561198060027840,"Posted November 5, 2015.",238430,False,1
youcannothidefromme,Posted January 18.,204360,True,0
76561198088315165,"Posted May 13, 2014.",238430,False,1
76561198012252740,"Posted December 8, 2013.",211820,True,1
76561198077518891,Posted June 23.,48700,True,0
76561198055400340,"Posted June 22, 2015.",32800,True,0
Lukkee,Posted January 25.,10180,True,0
76561198094174176,Posted July 22.,440,False,0
76561198048709944,"Posted August 7, 2014.",312990,True,2
76561198064534559,"Posted November 28, 2013.",105600,True,2
coejc,"Posted June 22, 2014.",24240,True,1
Bubblepowa_x,"Posted September 15, 2014.",9900,False,2
DerpingKoala,"Posted August 8, 2014.",208090,True,1
76561198066804829,"Posted May 9, 2014.",213670,True,2
ebolaspounge,"Posted May 28, 2014.",223750,True,1
76561198054211660,"Posted May 23, 2015.",730,True,1
76561198071972124,"Posted April 18, 2014.",8190,True,2
nanakao,"Posted October 9, 2014.",270550,True,2
tinkybellguy,"Posted March 19, 2015.",730,True,2
76561198011735059,"Posted February 11, 2013.",440,True,1
doctr,"Posted June 2, 2012.",204100,True,2
TheAmityPrincess,"Posted August 23, 2014.",270170,True,0
76561198097860960,"Posted April 11, 2015.",301520,True,1
utarran,"Posted August 27, 2014.",301520,True,1
76561198074763222,"Posted January 15, 2014.",4000,True,2
Polaa,"Posted October 11, 2015.",730,True,1
AURLNAME,Posted February 16.,221100,True,2
8721701,"Posted August 5, 2015.",200260,True,1
76561198044810588,"Posted December 8, 2013.",22320,True,2
Issekara,Posted August 9.,8930,True,1
76561198044856249,"Posted March 13, 2015.",109400,True,1
kungphukenobi,"Posted December 28, 2014.",221540,True,2
ProfessionalAssFace,"Posted November 29, 2013.",113200,True,2
KillKenny2122,"Posted November 8, 2014.",298630,True,2
ETK-KnightPizza1,"Posted November 27, 2014.",239220,True,2
GalaxyExcalibur,Posted April 25.,202170,False,1
budniak1,"Posted September 21, 2014.",304930,True,2
76561198091514051,"Posted February 7, 2014.",206210,True,1
WateryMind,Posted August 3.,379720,True,1
FoliquaMartinez,"Posted March 13, 2014.",207610,True,1
Trutle,"Posted June 21, 2014.",224760,True,1
76561198072851994,"Posted August 5, 2014.",224600,True,0
76561198092577173,"Posted October 1, 2014.",298630,True,2
76561198092188845,"Posted May 10, 2015.",362890,True,1
76561198043586020,"Posted April 9, 2014.",42160,True,0
Wizardkoer,Posted May 18.,730,True,2
Nikavek,"Posted July 20, 2015.",292030,True,2
76561198063128416,"Posted July 24, 2015.",323370,True,1
froijaye,"Posted October 14, 2015.",113200,True,2
76561198055317606,"Posted February 10, 2015.",440,True,2
maxpaynepillkiller,"Posted October 7, 2015.",55230,True,2
hydrariver,"Posted November 27, 2013.",1250,True,0
76561198028407473,"Posted March 23, 2015.",34330,True,2
SILENTLIGHT,"Posted August 19, 2014.",49520,True,1
meltingman234,"Posted November 19, 2015.",384990,True,2
ninja12749,"Posted June 30, 2014.",246620,True,1
auzmoz,Posted June 28.,65980,True,1
76561197988647146,Posted February 16.,730,True,2
wavewizard,"Posted April 29, 2014.",242800,False,2
geeemu,Posted July 20.,377160,True,1
kuangbiao,"Posted June 30, 2014.",246620,True,1
NutTheSniper,"Posted December 11, 2015.",730,True,1
76561198058129737,"Posted February 25, 2014.",211820,True,2
rezmwashere,"Posted June 23, 2014.",222880,True,2
76561198067315765,"Posted December 31, 2013.",259080,False,0
jadziatuvok,"Posted December 25, 2015.",300550,True,2
76561197972646182,"Posted July 1, 2014.",233250,False,2
L0RDVAD3R,"Posted June 23, 2014.",24240,True,2
mr10166,"Posted July 5, 2012.",630,True,2
sonnymastrangioli,"Posted November 13, 2015.",290080,True,2
76561198072335599,"Posted January 1, 2015.",49520,True,2
comin4datbooty,"Posted November 30, 2015.",221300,True,1
Durbles,"Posted June 22, 2013.",17020,False,0
76561198066254470,Posted April 15.,374320,True,1
76561198090300952,"Posted January 19, 2014.",244850,True,2
assassin11538,"Posted January 21, 2014.",49520,True,2
76561198091429493,"Posted November 1, 2015.",316790,True,1
76561198029589709,Posted July 13.,107410,True,1
Gadwall7,"Posted January 4, 2014.",212070,True,2
sunnydazeex,"Posted May 12, 2015.",22000,False,1
76561198066969630,"Posted December 31, 2013.",50300,True,2
SGT_Corrion,"Posted December 24, 2012.",60,True,0
76561198067711740,"Posted March 22, 2013.",4560,True,2
76561198048506749,"Posted August 4, 2015.",285900,True,2
76561198079345306,"Posted August 23, 2013.",3720,True,2
76561198055968875,"Posted December 14, 2013.",211820,True,2
76561198093265305,"Posted November 28, 2015.",341800,True,2
Brad123ghost,Posted March 24.,730,True,2
TheGarageMan,"Posted December 26, 2013.",211820,True,2
76561198086934889,"Posted December 10, 2015.",72850,True,1
76561198087391492,"Posted March 6, 2014.",218230,True,1
PwnArt1st,"Posted December 15, 2013.",211820,True,2
76561198070361854,"Posted March 6, 2015.",317360,True,1
Figjam_Theory,"Posted June 25, 2014.",219740,True,1
foxer007,"Posted June 21, 2015.",261570,True,1
random-idiot,"Posted February 28, 2013.",1250,True,2
_sc0tt_,"Posted June 27, 2014.",440,True,0
connormok,"Posted November 24, 2015.",440,True,2
76561198008760866,"Posted August 20, 2014.",270170,False,2
76561198043458582,"Posted July 19, 2015.",105600,True,2
Cryotechnic68,Posted January 25.,55140,False,2
CounterEverything,"Posted April 8, 2015.",268420,True,2
chefmisery,Posted April 22.,730,True,1
76561198100282394,"Posted July 19, 2014.",304930,True,1
grimnixilis,"Posted January 2, 2014.",10150,True,2
imsodonionringsrightnow,"Posted August 6, 2014.",570,True,2
76561198073648533,"Posted December 4, 2015.",271590,False,1
76561198060550550,Posted June 13.,24010,False,2
76561198087480152,"Posted September 27, 2014.",4000,False,0
getrektscrubuwotm8,Posted January 14.,107410,True,1
76561198045377236,"Posted June 18, 2015.",346110,True,2
76561197986717785,"Posted May 11, 2014.",24200,False,0
doctorpotatoes,"Posted February 13, 2015.",239030,True,2
76561198102485241,"Posted February 6, 2015.",206420,True,1
ashley6883,"Posted December 21, 2013.",206500,True,2
MrAle,"Posted December 31, 2012.",440,True,1
THEGHOST646,"Posted June 30, 2014.",12830,True,1
Freeballin99,"Posted July 12, 2014.",227940,True,1
turtlearmy,"Posted December 25, 2014.",221100,True,1
76561198077183562,"Posted May 23, 2014.",221100,True,2
ZELR4R,Posted June 25.,440,True,1
lachd1223,Posted August 14.,497850,True,2
76561198048227297,Posted February 24.,377160,True,2
rninetynine,Posted March 29.,266010,True,1
76561198082160445,"Posted May 4, 2014.",550,True,1
76561198048701431,"Posted February 13, 2014.",221100,True,2
Agiegamma,"Posted February 12, 2014.",208090,True,2
76561198064162552,"Posted July 23, 2014.",203770,True,1
BruteTartarus66,"Posted July 4, 2015.",233450,True,0
76561198039479583,"Posted December 27, 2015.",250260,True,2
76561198067518878,"Posted February 5, 2014.",247730,True,2
76561198060557951,"Posted December 15, 2015.",412470,True,2
BoyangBao,"Posted February 8, 2013.",99900,True,2
fuckoffandstopsharingmyprofile,Posted February 11.,383870,True,2
cbfguy,"Posted August 16, 2014.",226740,True,2
76561198056392326,Posted February 7.,259530,True,1
ZuperAokii,"Posted April 13, 2014.",239160,True,1
jackson_brand,Posted June 27.,270550,True,2
lauricella,"Posted December 9, 2015.",319630,True,2
76561198081875589,"Posted May 30, 2015.",730,True,2
76561198069291858,Posted July 10.,370100,False,1
76561198088947777,Posted April 20.,292630,True,1
time4b,"Posted November 25, 2013.",41500,True,2
Epula_Daug,"Posted November 6, 2015.",311210,True,1
Fluphy_,"Posted December 15, 2013.",550,True,2
fitemedickhead,"Posted April 2, 2014.",204300,True,2
Imposs1bru,"Posted December 23, 2012.",440,True,1
snakrobotza3,"Posted June 26, 2015.",4000,True,2
coolvibesandchill,"Posted November 30, 2013.",200510,True,2
76561197986709258,"Posted April 10, 2015.",342230,False,2
mrloopyland,"Posted June 5, 2014.",55110,True,2
Theta5Who,"Posted February 5, 2015.",262060,True,1
76561198062484829,Posted January 17.,230410,True,2
76561198054802892,Posted January 25.,225840,True,2
76561198096736743,"Posted January 31, 2015.",230410,True,1
76561198082823023,Posted March 17.,319510,False,1
Frituplay,"Posted June 25, 2015.",342150,False,1
76561198083488731,"Posted December 27, 2013.",24860,True,1
aLLCAPS,"Posted June 28, 2015.",18700,True,1
zaaikbr,"Posted April 20, 2015.",237110,True,1
76561198094428264,Posted July 13.,224600,True,1
76561198065446130,"Posted September 2, 2012.",440,True,1
76561197986964063,"Posted June 26, 2013.",233720,True,1
holyblade98,"Posted December 1, 2013.",236390,True,1
76561198065425354,"Posted June 3, 2015.",218620,True,2
mistersicklad483759,"Posted September 30, 2015.",221100,True,1
picworthe,"Posted January 2, 2014.",72850,True,1
Ezenthar,"Posted February 27, 2013.",22380,True,2
76561198131383023,"Posted June 1, 2014.",42680,True,2
76561198079359338,"Posted September 12, 2014.",274920,True,2
76561198055348490,"Posted October 25, 2015.",218620,False,1
shadowassassin17,"Posted June 8, 2014.",104900,True,0
shadowxskills,"Posted March 17, 2015.",230410,True,1
kamineyyy,"Posted October 29, 2013.",208090,True,1
Zewaffleman,"Posted December 27, 2013.",202170,True,2
Kingretroofswagland,"Posted December 26, 2014.",218060,True,2
tastecommander,"Posted December 30, 2013.",211420,True,0
nowhereissafe,"Posted July 22, 2014.",102700,False,1
76561198055117884,"Posted November 19, 2015.",384300,True,2
AlphaPodbury,"Posted September 13, 2015.",386360,True,1
bangs8,"Posted July 20, 2013.",219890,True,1
76561198101298586,"Posted March 2, 2014.",203290,True,2
Chunkmonky7,"Posted January 30, 2014.",400,True,2
roitethere,"Posted June 7, 2015.",17570,True,1
1136579070,"Posted December 28, 2013.",236390,True,2
RILEYinAUS,"Posted December 14, 2015.",227300,True,2
FashionPolice,"Posted September 4, 2014.",440,True,1
76561198067546287,"Posted March 6, 2015.",105600,True,1
hubzee,"Posted November 27, 2014.",233450,True,2
KassemZane,"Posted November 26, 2014.",304930,True,1
strumfreak,"Posted June 1, 2015.",368360,True,1
76561198069678796,"Posted May 24, 2015.",34900,True,2
76561198076583990,"Posted September 21, 2015.",346110,True,0
DefMind,Posted September 14.,500,True,2
kzkyus,"Posted March 15, 2015.",248570,True,2
76561198116557265,"Posted August 18, 2014.",301520,True,2
12345676543456789098543,"Posted April 18, 2014.",242920,True,2
xychome,"Posted May 10, 2012.",2270,True,1
serialies,"Posted November 12, 2014.",294860,True,2
76561198056968272,"Posted February 7, 2015.",240,False,1
01221733,"Posted August 17, 2015.",41070,True,1
76561198081497644,"Posted August 7, 2014.",4000,True,1
breadedaustralia,Posted March 19.,377160,True,2
LcsAngelo,"Posted February 23, 2014.",208090,True,1
SniffyDiagram,"Posted November 15, 2014.",33460,False,1
76561198140788321,Posted February 10.,730,True,1
Govostype0406,"Posted December 29, 2013.",257080,True,1
76561197971591275,"Posted December 6, 2015.",377160,True,2
76561198077796347,"Posted February 26, 2014.",239160,True,1
PuppyxKitten,"Posted August 30, 2014.",1250,True,2
IIIIllllIIIllIlIIIlIIlIlIlIlIlI,"Posted June 11, 2014.",440,True,1
Imposs1bru,"Posted October 21, 2012.",105600,True,1
THMAHES,Posted May 20.,570,False,2
RBauris3,Posted May 24.,238320,True,2
larrythebrony,"Posted February 6, 2015.",239140,True,2
ch0na1171za,"Posted March 21, 2014.",213670,True,2
IceCreamMan2169,"Posted July 18, 2013.",227300,True,2
76561198063499902,"Posted March 17, 2015.",218620,True,1
dylanthevillan55,"Posted November 28, 2013.",207610,True,2
WindowsSteam,Posted June 27.,438640,True,1
76561198068984689,"Posted August 17, 2014.",113200,True,2
yvanne,"Posted December 18, 2015.",730,True,2
hglo,"Posted June 4, 2015.",233720,True,1
issepol,"Posted May 29, 2014.",730,False,1
76561198032576956,"Posted April 2, 2012.",440,True,1
giraton,"Posted January 1, 2015.",204300,True,2
76561198041562431,"Posted December 26, 2015.",225540,False,2
512356,"Posted December 11, 2012.",212370,True,1
76561198061384419,"Posted December 14, 2013.",249050,True,1
76561197986678875,"Posted December 22, 2013.",204300,False,1
Vri404,"Posted December 12, 2013.",2700,True,1
76561198084634633,"Posted December 23, 2014.",400,True,0
POKESTEAM,"Posted January 24, 2015.",252490,True,2
76561198097073485,Posted April 2.,427270,True,1
freedomee,"Posted November 5, 2015.",10500,True,2
SpongeyIsSweg,"Posted November 27, 2015.",417860,True,1
oliversthebest,"Posted July 6, 2015.",274190,True,1
DJLordWaffles,"Posted December 13, 2014.",440,True,1
fluxxenik,"Posted May 24, 2014.",265630,True,2
DisturbedDope23,"Posted June 20, 2015.",730,True,1
76561198094304449,"Posted March 31, 2014.",218620,True,1
76561198044443958,"Posted December 15, 2014.",322920,True,2
BurgerStab,"Posted October 31, 2015.",353270,True,1
amoks,"Posted August 26, 2014.",570,True,1
wafzaf,"Posted October 23, 2015.",105600,True,1
76561198034310657,Posted August 14.,337850,True,1
pannu,"Posted August 2, 2014.",17520,True,1
spidermanhoodies4sale,Posted April 26.,252950,True,2
maxstupo,"Posted June 28, 2014.",219640,True,2
mypetjewjew,"Posted January 14, 2014.",55230,True,2
xychome,"Posted March 22, 2013.",40800,True,1
76561198067713802,"Posted March 28, 2015.",304930,True,2
Wooderino,"Posted June 6, 2015.",346110,True,1
Shaun_Stokes,"Posted August 1, 2015.",285900,True,2
76561198083444374,"Posted July 5, 2014.",107410,True,1
autismcentral,"Posted May 19, 2014.",570,False,2
12066gdc,"Posted June 21, 2013.",440,True,1
76561198054189921,"Posted May 2, 2015.",230410,True,2
76561198044831412,"Posted March 24, 2015.",295110,True,1
76561198008758884,Posted August 13.,275850,False,2
WalterDesigns,Posted February 24.,730,True,2
MrYeroc,"Posted March 15, 2015.",25000,True,2
76561198050800057,"Posted April 19, 2014.",239820,True,2
76561198071167700,"Posted February 14, 2014.",237990,True,2
g0dkiller,"Posted July 1, 2011.",440,True,1
76561198038741062,"Posted February 23, 2015.",105450,True,1
guysthethermaldrillgetit,"Posted December 7, 2013.",55230,True,2
LucasArthur,"Posted April 2, 2015.",91333,True,1
76561198068666800,"Posted October 14, 2014.",214490,True,2
76561198064205088,"Posted April 7, 2013.",105600,True,1
theempireendures,"Posted September 28, 2015.",391460,True,2
yungwind,"Posted July 16, 2014.",265930,True,2
ItsMarsh,Posted February 12.,252490,True,1
76561198063074670,"Posted April 3, 2015.",282070,True,0
76561198155627953,"Posted October 11, 2014.",214950,True,2
76561198033544560,"Posted November 28, 2014.",550,True,1
FabRainbro,"Posted December 16, 2015.",271590,True,1
76561197997877709,"Posted September 9, 2015.",359390,True,2
Ash1261,"Posted December 27, 2015.",377160,True,1
isoduo,"Posted February 3, 2014.",208090,True,1
hydrariver,"Posted February 1, 2014.",238320,True,0
lordthanatosbr,"Posted June 25, 2014.",4000,False,1
76561198054686826,Posted July 5.,72850,True,2
Caliace,"Posted January 16, 2015.",91310,True,1
76561198067714968,"Posted September 11, 2014.",240,True,1
HinataLAD,"Posted December 26, 2014.",730,True,1
76561198090713504,"Posted February 28, 2014.",104900,True,1
76561198072654697,"Posted December 7, 2013.",440,True,2
elnicoWTF,"Posted July 21, 2015.",304050,True,2
the1corp,"Posted May 31, 2015.",374570,True,1
76561198048506749,"Posted June 29, 2015.",253430,True,2
11925219096,"Posted February 8, 2015.",12210,True,2
76561198011004336,"Posted April 3, 2015.",8080,False,1
76561198024728550,"Posted March 22, 2012.",48700,True,1
76561198084585657,Posted April 15.,304930,True,0
76561198066976901,"Posted December 23, 2013.",233860,True,1
TR13180,"Posted January 31, 2015.",239140,True,2
4324434,Posted January 27.,105600,True,1
hanjunethehacker,"Posted January 3, 2014.",550,True,2
pannu,Posted July 3.,105600,True,2
1212343456567878909,"Posted July 31, 2015.",730,True,2
JunG00berfuckingsucks,"Posted July 24, 2015.",298240,True,2
rizkywarouw,Posted March 14.,252950,True,1
76561198081716813,"Posted November 8, 2013.",4000,True,1
aeonz,Posted April 16.,34900,False,0
76561198073169276,"Posted April 11, 2014.",243870,True,2
vacbanonrecord24,"Posted September 17, 2013.",730,True,1
AwesomeDoofus,"Posted December 2, 2013.",205100,True,2
76561198082101754,Posted July 8.,238460,True,2
76561198019652792,Posted August 2.,381210,False,0
76561198129380421,Posted January 11.,225540,True,1
FlakeTrades,"Posted December 26, 2015.",550,True,2
BrodyL12,"Posted July 20, 2012.",12900,True,1
G77777,"Posted March 29, 2015.",12120,True,1
Corporal_Punishment,"Posted April 28, 2015.",220200,True,2
HyperJGaming,"Posted August 28, 2015.",333930,True,1
jdeb9,"Posted June 27, 2014.",249130,True,1
Crackleking76,"Posted April 24, 2013.",22300,True,2
zuzuga2003,"Posted July 24, 2014.",253710,False,0
lachlantatton,"Posted June 11, 2015.",253710,True,2
dedwick,"Posted May 25, 2014.",239450,False,1
76561198042754142,"Posted December 17, 2015.",730,True,1
Halio99,"Posted June 16, 2012.",440,True,2
76561198069271631,"Posted January 5, 2014.",263380,True,2
SpiicyOrange,"Posted May 17, 2015.",304930,True,1
PogiGwaps,"Posted April 17, 2015.",730,True,1
howdafuq,Posted June 4.,323370,True,2
xXFusionDogzXx,"Posted October 14, 2015.",253710,False,1
patpat14,"Posted January 13, 2014.",17520,True,2
76561198033256694,"Posted July 4, 2014.",300,True,2
HarrisonDealSteam,"Posted June 20, 2014.",233450,True,2
DogTits197,"Posted June 27, 2014.",57300,True,1
76561198046362843,Posted January 31.,72850,True,2
yolofaceguy,"Posted September 2, 2014.",261030,True,0
mashimai,Posted April 1.,218680,True,1
76561198089093825,"Posted May 22, 2015.",550,True,2
76561198073862526,Posted January 4.,2700,True,2
76561198092735015,"Posted February 23, 2015.",570,True,2
76561198082067148,"Posted February 24, 2013.",440,True,1
InSAnE7331,"Posted December 5, 2015.",107410,True,0
thombelcar,Posted September 17.,365660,True,1
RaxonTV,Posted May 22.,48700,True,2
76561198077253824,Posted July 26.,440,True,1
furtsan,"Posted January 16, 2014.",220,True,1
LittleJimjam,"Posted April 21, 2014.",204630,True,1
76561198083911488,"Posted May 9, 2014.",224540,False,1
Fregus,"Posted December 19, 2013.",440,True,2
76561198054540475,"Posted February 13, 2015.",12210,True,0
noeop,"Posted December 11, 2013.",730,True,1
76561198038840599,"Posted June 22, 2015.",48700,True,1
Blade_Steam,"Posted June 21, 2014.",25890,True,1
76561198042760534,"Posted January 2, 2014.",252670,True,2
76561198072541428,"Posted November 14, 2014.",234670,True,1
76561198075581042,Posted June 13.,72750,True,1
76561198084390807,"Posted May 10, 2014.",252490,True,2
76561198063391282,"Posted April 22, 2014.",72850,True,2
